title,boxoffice,dates,budget
Bigger Than the Sky,"$21,398",2/18/05,"$750,000"
Hitch,"$179,495,555",2/11/05,$70 million
The Wedding Date,"$31,726,995",2/4/05,$15 million
Bridget Jones: The Edge of Reason,"$40,226,215",11/12/04,$40 million
Wimbledon,"$17,001,133",9/17/04,$31 million
Little Black Book,"$20,698,668",8/6/04,$35 million
Breakin' All the Rules,"$12,264,319",5/14/04,$10 million
Laws of Attraction,"$17,871,255",4/30/04,$32 million
The Prince and Me,"$28,176,497",4/2/04,$22 million
50 First Dates,"$120,908,074",2/13/04,$75 million
Win a Date with Tad Hamilton!,"$17,071,962",1/23/04,$22 million
Along Came Polly,"$88,097,164",1/16/04,$42 million
Chasing Liberty,"$12,195,626",1/9/04,$23 million
Something's Gotta Give,"$124,728,738",12/12/03,$80 million
Love Actually,"$59,696,144",11/7/03,$40 million
Anything Else,"$3,212,310",9/19/03,$18 million
Alex and Emma,"$14,218,698",6/20/03,$30 million
Boat Trip,"$8,600,126",3/21/03,$20 million
Bringing Down the House,"$132,716,677",3/7/03,$33 million
A Guy Thing,"$15,545,431",1/17/03,$20 million
Just Married,"$56,127,162",1/10/03,$18 million
Two Weeks Notice,"$93,354,851",12/20/02,$60 million
Maid in Manhattan,"$94,011,225",12/13/02,$55 million
Brown Sugar,"$27,363,891",10/11/02,$8 million
Swept Away,"$598,645",10/11/02,$10 million
Sweet Home Alabama,"$127,223,418",9/27/02,$30 million
Serving Sara,"$16,930,185",8/23/02,$29 million
Mr. Deeds,"$126,293,452",6/28/02,$50 million
About a Boy,"$41,385,278",5/17/02,$30 million
"Life, or Something Like It","$14,448,589",4/26/02,$40 million
My Big Fat Greek Wedding,"$241,438,208",4/19/02,$5 million
The Sweetest Thing,"$24,718,164",4/12/02,$43 million
Crush,"$1,084,935",4/5/02,$6 million
Kissing Jessica Stein,"$7,025,722",3/13/02,"$1,000,000"
Shallow Hal,"$70,839,203",11/9/01,$40 million
On the Line,"$4,365,455",10/26/01,$16 million
Two Can Play That Game,"$22,235,901",9/7/01,$13 million
Summer Catch,"$19,753,553",8/24/01,$34 million
America's Sweethearts,"$93,607,673",7/20/01,$46 million
Town & Country,"$6,719,973",4/27/01,$90 million
Bridget Jones's Diary,"$71,543,427",4/13/01,$25 million
Someone Like You,"$27,343,067",3/30/01,$23 million
Say It Isn't So,"$5,520,393",3/23/01,$25 million
Get Over It,"$11,576,464",3/9/01,$22 million
Down to Earth,"$64,186,502",2/16/01,$49 million
Head Over Heels,"$10,424,470",2/2/01,$14 million
The Wedding Planner,"$60,400,856",1/26/01,$35 million
What Women Want,"$182,811,707",12/15/00,$70 million
Dr. T and the Women,"$13,113,041",10/13/00,$23 million
Woman on Top,"$5,020,111",9/22/00,$8 million
Loser,"$15,618,626",7/21/00,$20 million
Boys and Girls,"$21,799,652",6/16/00,$35 million
Keeping the Faith,"$37,047,880",4/14/00,$29 million
Return to Me,"$32,722,798",4/7/00,$24 million
High Fidelity,"$27,287,137",3/31/00,$30 million
Whatever It Takes,"$8,745,680",3/24/00,$32 million
Down to You,"$20,069,008",1/21/00,$11 million
The Bachelor,"$21,760,240",11/5/99,$51 million
Three to Tango,"$10,570,375",10/22/99,$20 million
Drive Me Crazy,"$17,845,337",10/1/99,$8.5 million
Mickey Blue Eyes,"$33,864,342",8/20/99,$75 million
Runaway Bride,"$152,257,509",7/30/99,$70 million
Notting Hill,"$116,089,678",5/28/99,$42 million
The Love Letter,"$8,302,478",5/21/99,$20 million
A Midsummer Night's Dream,"$16,071,990",5/14/99,$11 million
Never Been Kissed,"$55,474,756",4/9/99,$25 million
10 Things I Hate About You,"$38,178,166",3/31/99,$30 million
Forces of Nature,"$52,888,180",3/19/99,$75 million
Just the Ticket,"$430,404",2/26/99,$12 million
Blast from the Past,"$26,511,114",2/12/99,$35 million
Simply Irresistible,"$4,398,989",2/5/99,$6 million
She's All That,"$63,366,989",1/29/99,$10 million
You've Got Mail,"$115,821,495",12/18/98,$65 million
Shakespeare in Love,"$100,317,794",12/11/98,$25 million
Home Fries,"$10,459,961",11/27/98,$35 million
There's Something About Mary,"$176,484,651",7/15/98,$23 million
Sliding Doors,"$11,841,544",4/24/98,$6 million
The Wedding Singer,"$80,245,725",2/13/98,$18 million
As Good as It Gets,"$148,478,011",12/23/97,$50 million
My Best Friend's Wedding,"$127,120,029",6/20/97,$38 million
The Beautician and the Beast,"$11,486,880",2/7/97,$16 million
Sabrina,"$53,672,080",12/15/95,$58 million
The Perez Family,"$2,832,826",5/12/95,$11 million
While You Were Sleeping,"$81,057,016",4/21/95,$17 million
Don Juan de Marco,"$22,150,451",4/7/95,$25 million
I.Q.,"$26,381,221",12/25/94,$25 million
Four Weddings and a Funeral,"$52,700,832",3/11/94,$4.4 million
For Love or Money,"$11,146,270",10/1/93,$30 million
Sleepless in Seattle,"$126,808,165",6/25/93,$21 million
Much Ado About Nothing,"$22,549,338",5/7/93,$11 million
Boomerang,"$70,052,444",7/1/92,$42 million
Mannequin Two: On the Move,"$3,752,428",5/17/91,$13 million
The Marrying Man,"$12,454,768",4/5/91,$26 million
Pretty Woman,"$178,406,268",3/23/90,$14 million
Valley Girl,"$17,343,596",4/29/83,"$350,000"
