title,boxoffice,dates,budget
Dead Silence,"$16,809,076",3/16/07,$20 million
Saw III,"$80,238,724",10/27/06,$10 million
The Texas Chainsaw Massacre: The Beginning,"$39,517,763",10/6/06,$16 million
Snakes on a Plane,"$34,020,814",8/18/06,$33 million
The Omen (2006),"$54,607,383",6/6/06,$25 million
See No Evil,"$15,032,800",5/19/06,$8 million
Silent Hill,"$46,982,632",4/21/06,$50 million
Slither,"$7,802,450",3/31/06,$15 million
The Hills Have Eyes,"$41,778,863",3/10/06,$15 million
Final Destination 3,"$54,098,051",2/10/06,$25 million
Tamara,"$206,871",2/3/06,$3.5 million
Hostel,"$47,326,473",1/6/06,$4.8 million
BloodRayne,"$2,405,420",1/6/06,$25 million
Saw II,"$87,039,965",10/28/05,$4 million
Doom,"$28,212,337",10/21/05,$60 million
The Devil's Rejects,"$17,044,981",7/22/05,$7 million
George A. Romero's Land of the Dead,"$20,700,082",6/24/05,$15 million
House of Wax,"$32,064,800",5/6/05,$40 million
The Amityville Horror (2005),"$65,233,369",4/15/05,$19 million
Constantine,"$75,976,178",2/18/05,$100 million
Alone in the Dark,"$5,178,569",1/28/05,$20 million
Blade: Trinity,"$52,411,906",12/8/04,$65 million
Seed of Chucky,"$17,083,732",11/12/04,$12 million
Saw,"$56,000,369",10/29/04,$1.2 million
Resident Evil: Apocalypse,"$51,201,453",9/10/04,$45 million
Malevolence,"$127,287",9/10/04,"$200,000"
Exorcist: The Beginning,"$41,821,986",8/20/04,$80 million
Open Water,"$30,610,863",8/6/04,"$500,000"
Dawn of the Dead,"$59,020,957",3/19/04,$26 million
Gothika,"$59,694,580",11/21/03,$40 million
The Texas Chainsaw Massacre,"$80,571,655",10/17/03,$9.5 million
House of the Dead,"$10,249,719",10/10/03,$12 million
Underworld,"$51,970,690",9/19/03,$22 million
Cabin Fever,"$21,158,188",9/12/03,$1.5 million
Jeepers Creepers 2,"$35,667,218",8/29/03,$17 million
Freddy Vs. Jason,"$82,622,655",8/15/03,$30 million
28 Days Later,"$45,064,915",6/27/03,$8 million
Wrong Turn,"$15,418,790",5/30/03,$12.6 million
"House of 1,000 Corpses","$12,634,962",4/11/03,$7 million
Dreamcatcher,"$33,715,436",3/21/03,$68 million
Ghost Ship,"$30,113,491",10/25/02,$20 million
fear dot com,"$13,258,249",8/30/02,$40 million
Halloween: Resurrection,"$30,354,442",7/12/02,$13 million
Jason X,"$13,121,555",4/26/02,$11 million
Frailty,"$13,110,448",4/12/02,$11 million
Blade II,"$82,348,319",3/22/02,$54 million
Resident Evil,"$40,119,709",3/15/02,$33 million
Queen of the Damned,"$30,336,800",2/22/02,$35 million
Thirteen Ghosts,"$41,867,960",10/26/01,$42 million
Bones,"$7,316,658",10/26/01,$16 million
From Hell,"$31,602,566",10/19/01,$35 million
Jeepers Creepers,"$37,904,175",8/31/01,$10 million
John Carpenter's Ghosts of Mars,"$8,709,640",8/24/01,$28 million
The Forsaken,"$7,288,451",4/27/01,$15 million
Valentine,"$20,384,136",2/2/01,$29 million
Dracula 2000,"$33,022,767",12/22/00,$54 million
Book of Shadows: Blair Witch 2,"$26,437,094",10/27/00,$15 million
Lost Souls,"$16,815,253",10/13/00,$50 million
Urban Legends: Final Cut,"$21,468,807",9/22/00,$14 million
Bless the Child,"$29,381,494",8/11/00,$65 million
Hollow Man,"$73,209,340",8/4/00,$95 million
Final Destination,"$53,331,147",3/17/00,$23 million
Pitch Black,"$39,240,659",2/18/00,$23 million
Scream 3,"$89,143,175",2/4/00,$40 million
End of Days,"$66,889,043",11/24/99,$100 million
Sleepy Hollow,"$101,071,502",11/19/99,$100 million
House on Haunted Hill,"$40,846,082",10/29/99,$37 million
Stigmata,"$50,046,268",9/10/99,$29 million
Stir of Echoes,"$21,142,914",9/10/99,$12 million
The Astronaut's Wife,"$10,672,566",8/27/99,$75 million
Deep Blue Sea,"$73,648,142",7/30/99,$60 million
The Blair Witch Project,"$140,539,099",7/16/99,"$60,000"
Lake Placid,"$31,770,414",7/16/99,$35 million
Idle Hands,"$4,152,230",4/30/99,$25 million
Ravenous,"$2,062,405",3/19/99,$12 million
The Rage: Carrie 2,"$17,762,705",3/12/99,$21 million
Virus,"$14,036,005",1/15/99,$75 million
The Faculty,"$40,283,321",12/25/98,$15 million
I Still Know What You Did Last Summer,"$40,002,112",11/13/98,$65 million
John Carpenter's Vampires,"$20,308,772",10/30/98,$20 million
Bride of Chucky,"$32,383,850",10/16/98,$25 million
Urban Legend,"$38,072,438",9/25/98,$14 million
Halloween: H20,"$55,041,738",8/7/98,$17 million
An American Werewolf in Paris,"$26,570,463",12/25/97,$25 million
Scream 2,"$101,363,301",12/12/97,$24 million
Alien Resurrection,"$47,795,658",11/26/97,$75 million
Mimic,"$25,480,490",8/22/97,$30 million
Scream,"$103,046,663",12/20/96,$14 million
From Dusk Till Dawn,"$25,836,616",1/19/96,$19 million
In the Mouth of Madness,"$8,924,549",2/3/95,$8 million
Interview with the Vampire,"$105,264,608",11/11/94,$60 million
Mary Shelley's Frankenstein,"$22,006,296",11/4/94,$45 million
Bram Stoker's Dracula,"$82,522,790",11/13/92,$40 million
Alien 3,"$55,473,545",5/22/92,$50 million
The Lawnmower Man,"$32,100,816",3/6/92,$10 million
The People Under the Stairs,"$24,204,154",11/1/91,$6 million
Freddy's Dead: The Final Nightmare,"$34,872,033",9/13/91,$11 million
Halloween 4: The Return of Michael Myers,"$17,768,757",10/21/88,$5 million
Predator,"$59,735,548",6/12/87,$15 million
Angel Heart,"$17,185,632",3/6/87,$17 million
The Texas Chainsaw Massacre 2,"$8,025,872",8/22/86,$4.7 million
Re-Animator,"$2,023,414",10/18/85,"$900,000"
