title,boxoffice,dates,budget
Looney Tunes: Back in Action,"$20,991,364",11/14/03,$80 million
Sinbad: Legend of the Seven Seas,"$26,483,452",7/2/03,$60 million
Rugrats Go Wild,"$39,402,572",6/13/03,$25 million
Finding Nemo,"$380,843,261",5/30/03,$94 million
The Jungle Book 2,"$47,901,582",2/14/03,$20 million
The Wild Thornberrys,"$40,108,697",12/20/02,$25 million
Treasure Planet,"$38,176,783",11/27/02,$140 million
Jonah: A VeggieTales Movie,"$25,581,229",10/4/02,$14 million
The Powerpuff Girls Movie,"$11,412,414",7/3/02,$11 million
Hey Arnold! The Movie,"$13,728,902",6/28/02,$3 million
Lilo & Stitch,"$145,794,338",6/21/02,$80 million
Spirit: Stallion of the Cimarron,"$73,280,117",5/24/02,$80 million
Ice Age,"$176,387,405",3/15/02,$59 million
Return to Never Land,"$48,430,258",2/15/02,$20 million
Jimmy Neutron: Boy Genius,"$80,936,232",12/21/01,$30 million
"Monsters, Inc.","$289,916,256",11/2/01,$115 million
Final Fantasy: The Spirits Within,"$32,131,830",7/11/01,$137 million
Atlantis: The Lost Empire,"$84,056,472",6/8/01,$120 million
Shrek,"$267,665,011",5/16/01,$60 million
Pokemon 3: The Movie,"$17,052,128",4/6/01,$16 million
Recess: School's Out,"$36,706,141",2/16/01,$23 million
The Emperor's New Groove,"$89,302,687",12/15/00,$100 million
Rugrats in Paris: The Movie,"$76,507,756",11/17/00,$30 million
Digimon: The Movie,"$9,631,153",10/6/00,$5 million
Pokemon: The Movie 2000,"$43,758,684",7/21/00,$30 million
Chicken Run,"$106,834,564",6/23/00,$45 million
Titan A.E.,"$22,753,426",6/16/00,$75 million
Dinosaur,"$137,748,063",5/19/00,$127.5 million
The Road to El Dorado,"$50,863,742",3/31/00,$95 million
The Tigger Movie,"$45,554,533",2/11/00,$30 million
Toy Story 2,"$245,852,179",11/19/99,$90 million
Pokemon: The First Movie,"$85,744,662",11/10/99,$30 million
The Iron Giant,"$23,159,305",8/3/99,$70 million
"South Park - Bigger, Longer and Uncut","$52,037,603",6/30/99,$21 million
Tarzan,"$171,091,819",6/16/99,$130 million
The King and I (1999),"$11,993,021",3/19/99,$25 million
The Prince of Egypt,"$101,413,188",12/18/98,$70 million
A Bug's Life,"$162,798,565",11/20/98,$120 million
The Rugrats Movie,"$100,494,675",11/20/98,$24 million
Antz,"$90,757,863",10/2/98,$105 million
I Married a Strange Person!,"$206,272",8/28/98,"$250,000"
Hercules,"$99,112,101",6/15/97,$85 million
Beavis and Butt-Head Do America,"$63,118,386",12/20/96,$12 million
The Hunchback of Notre Dame,"$100,138,851",6/21/96,$100 million
Arabian Knight,"$669,276",8/25/95,$25 million
The Lion King,"$422,783,777",6/15/94,$45 million
Aladdin,"$217,350,219",11/13/92,$28 million
Beauty and the Beast,"$218,967,620",11/15/91,$25 million
