title,boxoffice,dates,budget
Exodus: Gods and Kings,"$65,014,513",12/12/14,$140 million
Penguins of Madagascar,"$83,350,911",11/26/14,$132 million
Big Hero 6,"$222,527,828",11/7/14,$165 million
The Book of Life (2014),"$50,151,543",10/17/14,$50 million
The Boxtrolls,"$50,837,305",9/26/14,$60 million
Teenage Mutant Ninja Turtles (2014),"$191,204,754",8/8/14,$125 million
Guardians of the Galaxy,"$333,176,600",8/1/14,$170 million
Hercules (2014),"$72,688,614",7/25/14,$100 million
Planes: Fire & Rescue,"$59,165,787",7/18/14,$50 million
Dawn of the Planet of the Apes,"$208,545,589",7/11/14,$170 million
Transformers: Age of Extinction,"$245,439,076",6/27/14,$210 million
How to Train Your Dragon 2,"$177,002,924",6/13/14,$145 million
Edge of Tomorrow,"$100,206,256",6/6/14,$178 million
Maleficent,"$241,410,378",5/30/14,$180 million
X-Men: Days of Future Past,"$233,921,534",5/23/14,$200 million
Godzilla (2014),"$200,676,069",5/16/14,$160 million
Legends of Oz: Dorothy's Return,"$8,462,027",5/9/14,$70 million
Rio 2,"$131,538,435",4/11/14,$103 million
Captain America: The Winter Soldier,"$259,766,572",4/4/14,$170 million
Need for Speed,"$43,577,636",3/14/14,$66 million
Mr. Peabody & Sherman,"$111,506,430",3/7/14,$145 million
300: Rise of An Empire,"$106,580,051",3/7/14,$110 million
Pompeii,"$23,219,748",2/21/14,$100 million
The LEGO Movie,"$257,760,692",2/7/14,$60 million
"I, Frankenstein","$19,075,290",1/24/14,$65 million
The Nut Job,"$64,251,541",1/17/14,$42 million
The Legend of Hercules,"$18,848,538",1/10/14,$70 million
47 Ronin,"$38,362,475",12/25/13,$175 million
Walking with Dinosaurs,"$36,076,121",12/20/13,$80 million
Frozen,"$400,738,009",11/22/13,$150 million
Thor: The Dark World,"$206,362,140",11/8/13,$170 million
Free Birds,"$55,750,480",11/1/13,$55 million
Gravity,"$274,092,705",10/4/13,$100 million
Cloudy with a Chance of Meatballs 2,"$119,793,567",9/27/13,$78 million
Metallica Through the Never,"$3,419,967",9/27/13,$18 million
Battle of the Year,"$8,888,355",9/20/13,$20 million
One Direction: This is Us,"$28,873,374",8/30/13,$10 million
Planes,"$90,288,712",8/9/13,$50 million
Percy Jackson: Sea of Monsters,"$68,559,554",8/7/13,$90 million
The Smurfs 2,"$71,017,784",7/31/13,$105 million
The Wolverine,"$132,556,852",7/26/13,$120 million
R.I.P.D.,"$33,618,855",7/19/13,$130 million
Turbo,"$83,028,128",7/17/13,$135 million
Pacific Rim,"$101,802,906",7/12/13,$190 million
Despicable Me 2,"$368,061,265",7/3/13,$76 million
World War Z,"$202,359,711",6/21/13,$190 million
Man of Steel,"$291,045,518",6/14/13,$225 million
Epic,"$107,518,682",5/24/13,$100 million
Star Trek Into Darkness,"$228,778,661",5/16/13,$190 million
The Great Gatsby (2013),"$144,840,419",5/10/13,$105 million
Iron Man 3,"$409,013,994",5/3/13,$200 million
G.I. Joe: Retaliation,"$122,523,060",3/28/13,$130 million
The Croods,"$187,168,425",3/22/13,$135 million
Oz The Great and Powerful,"$234,911,825",3/8/13,$215 million
Jack the Giant Slayer,"$65,187,603",3/1/13,$195 million
Escape From Planet Earth,"$57,012,977",2/15/13,$40 million
Hansel and Gretel: Witch Hunters,"$55,703,475",1/25/13,$50 million
Life of Pi,"$124,987,023",11/21/12,$120 million
Rise of the Guardians,"$103,412,758",11/21/12,$145 million
Wreck-It Ralph,"$189,422,889",11/2/12,$165 million
Silent Hill: Revelation 3D,"$17,529,157",10/26/12,$20 million
Frankenweenie,"$35,291,068",10/5/12,$39 million
Hotel Transylvania,"$148,313,048",9/28/12,$85 million
Dredd,"$13,414,714",9/21/12,$50 million
Resident Evil: Retribution,"$42,345,531",9/14/12,$65 million
ParaNorman,"$56,003,051",8/17/12,$60 million
Step Up Revolution,"$35,074,677",7/27/12,$33 million
Ice Age: Continental Drift,"$161,321,843",7/13/12,$95 million
Katy Perry: Part of Me,"$25,326,071",7/5/12,$12 million
The Amazing Spider-Man,"$262,030,663",7/3/12,$230 million
Brave,"$237,283,207",6/22/12,$185 million
Abraham Lincoln: Vampire Hunter,"$37,519,139",6/22/12,$69 million
Madagascar 3: Europe's Most Wanted,"$216,391,482",6/8/12,$145 million
Prometheus,"$126,477,084",6/8/12,$130 million
MIB 3,"$179,020,854",5/25/12,$225 million
Marvel's The Avengers,"$623,357,910",5/4/12,$220 million
The Pirates! Band of Misfits,"$31,051,126",4/27/12,$55 million
Wrath of the Titans,"$83,670,083",3/30/12,$150 million
John Carter,"$73,078,100",3/9/12,$250 million
Dr. Seuss' The Lorax,"$214,030,500",3/2/12,$70 million
Ghost Rider: Spirit of Vengeance,"$51,774,002",2/17/12,$57 million
Journey 2: The Mysterious Island,"$103,860,290",2/10/12,$79 million
Underworld Awakening,"$62,321,039",1/20/12,$70 million
The Darkest Hour,"$21,443,494",12/25/11,$30 million
Immortals,"$83,504,017",11/11/11,$75 million
A Very Harold & Kumar 3D Christmas,"$35,061,031",11/4/11,$19 million
Puss in Boots,"$149,260,504",10/28/11,$130 million
The Three Musketeers (2011),"$20,374,484",10/21/11,$75 million
Dolphin Tale,"$72,286,779",9/23/11,$37 million
Shark Night 3D,"$18,877,153",9/2/11,$25 million
Spy Kids: All the Time in the World,"$38,538,188",8/19/11,$27 million
Conan the Barbarian (2011),"$21,295,021",8/19/11,$90 million
Fright Night (2011),"$18,302,607",8/19/11,$30 million
Final Destination 5,"$42,587,643",8/12/11,$40 million
Glee The 3D Concert Movie,"$11,862,398",8/12/11,$9 million
Sex and Zen 3D: Extreme Ecstasy,"$153,215",8/12/11,$3.5 million
The Smurfs,"$142,614,158",7/29/11,$110 million
Captain America: The First Avenger,"$176,654,505",7/22/11,$140 million
